STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1994,,380.793,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1995,,385.81,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1996,,402.156,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1997,,394.845,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1998,,413.259,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1999,,412.021,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2000,,406.139,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2001,,410.445,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2002,,405.947,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,FRA,France,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2003,,411.965,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
