STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2022,,8978929,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2023,,9104772,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2024,,9158750,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AT,Austria,2025,,9197213,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2000,,8016200,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2001,,8081000,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2002,,8141400,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2003,,8202500,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2004,,8265700,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2005,,8347300,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2006,,8436400,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2007,,8532700,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2008,,8629900,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2009,,8896900,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2010,,8997586,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,AZ,Azerbaijan,2011,,9111078,,,,,
