scenario,iso3c,SSP,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
default,AND,SSP5,pop,million,0.078871,0.084454,0.077993,0.077265,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416
default,ARE,SSP1,gdp,million constant 2017 Int$PPP,417045.974393031,469581.071326846,604115.150923572,661510.227861789,734336.347173795,848372.506613031,971203.607752616,1092654.873162,1200935.51423548,1292805.25294586,1378570.92248936,1469361.84697451,1558519.21454898,1642828.34066058,1717067.27100742,1789320.75622419,1864396.97606781,1951881.00454894,2060194.81038446,2192609.99555251
default,ARE,SSP2,gdp,million constant 2017 Int$PPP,417045.974393031,469581.071326846,604115.150923572,661510.227861789,734336.347173795,836585.937863178,923581.942454467,1018071.50928852,1104362.37205346,1178351.12297701,1248374.62776448,1324814.61722366,1404794.37572228,1488918.16183974,1576774.27853608,1672927.3635672,1782243.86083114,1910298.04893178,2056881.0022041,2217943.19636444
default,ARE,SSP3,gdp,million constant 2017 Int$PPP,417045.974393031,469581.071326846,604115.150923572,661510.227861789,734336.347173795,788624.327310463,824235.450028461,856146.708197511,860079.781205131,832861.12136267,786629.698548732,735818.865646177,682659.339983303,631794.572189112,587027.401526625,553173.14931953,533484.382957104,526870.785811657,528517.863434064,534591.562462416
default,ARE,SSP4,gdp,million constant 2017 Int$PPP,417045.974393031,469581.071326846,604115.150923572,661510.227861789,734336.347173795,837742.50842621,950182.239189303,1074118.45500494,1182891.32149102,1269597.42713233,1341949.03158673,1414373.225289,1485012.75368036,1556749.84056888,1630382.47923622,1712954.66342437,1810234.04586834,1929908.30715826,2072574.62348042,2233341.44115928
default,ARE,SSP5,gdp,million constant 2017 Int$PPP,417045.974393031,469581.071326846,604115.150923572,661510.227861789,734336.347173795,901656.868892303,1119539.68059864,1362744.69981814,1613180.79603914,1859856.84598734,2109749.49658988,2376142.70110784,2655656.01340734,2945391.24820838,3237086.00816519,3546835.62807985,3885161.12245402,4265102.5236654,4702870.82786099,5207804.87290666
default,ARE,SSP1,pop,million,4.588222,8.549998,9.262896,9.8904,10.3244175530839,11.0132875163085,11.7587261201123,12.471689055707,13.1123795504898,13.6468201712476,14.067877534212,14.3779920075144,14.5787592164714,14.6702730213957,14.6649229835693,14.5951847712014,14.5154973656827,14.4789857040257,14.5236632128913,14.6471833844609
default,ARE,SSP2,pop,million,4.588222,8.549998,9.262896,9.8904,10.3244175530839,11.0297238991138,11.7970724954845,12.5244725609298,13.1656137375853,13.6837284079951,14.0766647777534,14.3525622430908,14.5304127285456,14.6297694963273,14.6921715340961,14.7685134573634,14.9174550527575,15.1618240522357,15.4816929684746,15.8252316231775
default,ARE,SSP3,pop,million,4.588222,8.549998,9.262896,9.8904,10.3244175530839,10.5527037763394,10.6819678544797,10.7228248930881,10.6168363406099,10.3321357048295,9.88790281805222,9.32978967696276,8.70994145064093,8.0874959553611,7.5313807134701,7.11292072635291,6.86588049046349,6.76079099262455,6.73272050888621,6.72842502560952
default,ARE,SSP4,pop,million,4.588222,8.549998,9.262896,9.8904,10.3244175530839,10.9947951050729,11.7004679155242,12.3504520317605,12.9042294529145,13.3345683132872,13.6389244593357,13.8254957191426,13.9074739999668,13.9086047348747,13.8714789387314,13.8534814081136,13.9129392186884,14.075859273338,14.3218883437197,14.6037240195188
default,ARE,SSP5,pop,million,4.588222,8.549998,9.262896,9.8904,10.3244175530839,11.4450562094656,12.736499008042,13.9948120317198,15.1790910517579,16.2523190663362,17.2054847766823,18.0342592255429,18.7350202241958,19.3032621232547,19.7436672642386,20.0830045052656,20.3651818413343,20.63640426517,20.9254725944176,21.2272627572262
default,ARG,SSP1,gdp,million constant 2017 Int$PPP,755551.060091098,959396.223037209,1032315.58360075,967739.183861976,1032578.93936903,1340766.91833193,1758312.84467408,2169355.24996523,2576788.77386218,2974559.32137362,3359539.34265307,3729893.78904469,4080324.86211258,4403855.9308001,4689487.67167653,4954477.41937696,5212465.9642474,5463310.1183262,5703987.2514482,5926133.96846585
default,ARG,SSP2,gdp,million constant 2017 Int$PPP,755551.060091098,959396.223037209,1032315.58360075,967739.183861976,1032578.93936903,1253850.42295348,1560631.268252,1856363.65120652,2154434.4386887,2464027.69615463,2785478.85951871,3114286.31031188,3443875.43689514,3770627.55625513,4088579.58003743,4403886.48762806,4713463.35854499,5018730.27718431,5315883.89903632,5601222.26794343
default,ARG,SSP3,gdp,million constant 2017 Int$PPP,755551.060091098,959396.223037209,1032315.58360075,967739.183861976,1032578.93936903,1192823.79098305,1350983.90512292,1501626.98103519,1643695.12996241,1785249.18535285,1931291.29734408,2086799.10769318,2253385.76511516,2428506.20068744,2606179.59316835,2781926.85900836,2953909.7684258,3125043.85997275,3296584.11563693,3470889.97593563
default,ARG,SSP4,gdp,million constant 2017 Int$PPP,755551.060091098,959396.223037209,1032315.58360075,967739.183861976,1032578.93936903,1239383.70571351,1480883.67185752,1720606.65464801,1950502.22283003,2178977.19803825,2404527.90546291,2623228.93968427,2826698.64142133,3008833.41446617,3165680.1450863,3307157.66853531,3434190.02501488,3550197.18552257,3655660.24702045,3745990.15274031
default,ARG,SSP5,gdp,million constant 2017 Int$PPP,755551.060091098,959396.223037209,1032315.58360075,967739.183861976,1032578.93936903,1411176.24838806,1964306.65728047,2527093.77593358,3105373.04160613,3695800.74540185,4299401.22552796,4915710.70936557,5539371.25376227,6157784.03033621,6755056.36885511,7354316.11453693,7976479.72151741,8622554.19445198,9288849.85580288,9960761.92249139
default,ARG,SSP1,pop,million,38.892924,40.788453,43.131966,45.376763,47.3689379753693,48.8952893137422,50.2126940166377,51.4052003326729,52.4432537002894,53.2884939180122,53.9154149943594,54.3231060010637,54.5199677210339,54.5265466474082,54.350535063332,54.00276289376,53.5082300589147,52.8932522642932,52.163193865247,51.3340467135783
default,ARG,SSP2,pop,million,38.892924,40.788453,43.131966,45.376763,47.3689379753693,49.1456036476597,50.7755560258917,52.2705722690687,53.6078124077829,54.7705471661959,55.7320297380273,56.4750299709169,56.9969433069496,57.3069858741322,57.4231892272604,57.3867254164512,57.2126207373678,56.9227134063738,56.5204093838196,56.0202340888462
default,ARG,SSP3,pop,million,38.892924,40.788453,43.131966,45.376763,47.3689379753693,49.6213793630559,51.927354294287,54.1738735413013,56.3501090821387,58.4649202074938,60.5158460032848,62.4814272987182,64.3368580798493,66.0789883766531,67.7352819902831,69.3492478817056,70.9573075793319,72.5809202539552,74.2239249315433,75.8814982204957
default,ARG,SSP4,pop,million,38.892924,40.788453,43.131966,45.376763,47.3689379753693,48.7841569071052,49.8474667827995,50.6621050879853,51.2198369914234,51.5132409785401,51.5379454722578,51.2976103975718,50.8021988836356,50.0643173387662,49.0998254379428,47.9562005415201,46.6571304973838,45.2386045679868,43.727360538711,42.1545077720157
default,ARG,SSP5,pop,million,38.892924,40.788453,43.131966,45.376763,47.3689379753693,48.9334130137868,50.3038470525186,51.5518378552386,52.6475582092106,53.5501599993654,54.2341637083827,54.6983560259139,54.9488035037019,55.0072446188256,54.8791392678537,54.5749016979449,54.1192025528539,53.5371169131181,52.8342057845019,52.0254333279713
