STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2010,,1684.022,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2011,,1585.118,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2012,,1697.210,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2013,,1603.580,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2014,,1601.602,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2015,,1512.588,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2016,,1775.015,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2017,,1695.892,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2018,,1686.600,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2019,,1771.639,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2020,,1724.244,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2021,,1849.523,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2022,,1499.891,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EE,Estonia,2023,,1691.942,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,EL,Greece,2010,,0.000,,,,,
