country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Bulgaria,2026,VNI,1926.763485833333,207.5641925,6.410522,36201.30633,2.550819854887676,2.002900882170968,10.496878106557896,19.022470995124426,19.64116201310719,5.091918469801997,338881826.49322754,161.70170113127185,7.564115794322543,5.340246871552085
Bulgaria,2027,VNI,2215.0207145833333,312.78504458333333,6.377196,37657.48,3.4816587935120102,1.9983936206152295,10.536313440270748,18.8532207215349,19.646356471630035,5.081054516044508,340646713.93919873,159.94368417225795,7.7034683955596455,5.748708180091607
Bulgaria,2028,VNI,2242.2465720833334,172.91026499999998,6.34031,38968.6,2.883155735814147,1.993381076067005,10.5705371339742,18.4848559818529,19.649586973918627,5.071686603005419,341748953.3663129,158.44301776552288,7.715679458074173,5.158539447795256
Bulgaria,2029,VNI,2084.5896258333332,285.0865954166667,6.300267,40189.81,2.4824765584938735,1.9879109228279497,10.601393641507382,18.027767958755415,19.65139408709684,5.06339225619265,342367090.759284,157.1260114831406,7.642806888418837,5.656294546168039
Bulgaria,2030,VNI,2068.814653333334,310.72758916666663,6.256722,41354.33,2.186362471200032,1.9819282117215304,10.629956591782236,17.654351190065917,19.65199598701008,5.0560016464764495,342573223.51152945,155.96167173640143,7.635214342798023,5.742129694780201
Bulgaria,2035,VNI,2033.3113491666668,165.664455,6.018874,46663.96,1.434237426043827,1.948602806312048,10.75074884082601,17.859121548181175,19.65081014715051,5.049966448897708,342167227.2979055,155.01722984854362,7.617912637247455,5.115982539666035
Bulgaria,2040,VNI,2242.7501675,284.37680124999997,5.803606,51399.78,1.1305817962179887,1.917452765743471,10.847408626425391,18.109392324052465,19.649625613292457,5.043904947431385,341762158.5870355,154.07439157562808,7.715903926888397,5.653810416700386
Bulgaria,2045,VNI,1855.20361125,205.1576125,5.611168,55909.55,0.9247541287534132,1.8887603402203583,10.931508371210723,17.894653710216108,19.648442384787735,5.037816881050573,341358015.00223297,153.13315644393563,7.52628861166635,5.328640985466031
Bulgaria,2050,VNI,2105.376575,279.8381725,5.433547,60496.15,0.8610867151608748,1.8615260191264429,11.010351535471326,18.065642657460696,19.647260460985912,5.031701984694696,340954794.173264,152.19352397275338,7.652724487250532,5.6377786048639535
Bulgaria,2055,VNI,1674.1169266666666,394.3741220833333,5.272295,65078.6,0.9397808381171212,1.8361423163807975,11.083366415032586,17.73801686132656,19.64607984123431,5.02555998918623,340552493.7363289,151.25549367438754,7.423638248787948,5.979832461157545
Bulgaria,2060,VNI,2077.44308875,275.60193375,5.120715,71240.9,1.4252653166683338,1.8116789197654937,11.17383640745783,18.04380435059777,19.64490052487801,5.019390621145268,340151111.3340443,150.3190650541764,7.639374377394085,5.6225794103486635
Croatia,2025,VNI,2102.182837916667,158.3804075,3.87435,44491.65593,3.8961818647847313,1.583986762226798,10.703079419253612,12.246169335262143,19.089724735300457,4.982001034194079,195236993.56051,144.76577230976403,7.6512071133960085,5.071293844748865
Croatia,2026,VNI,1706.2936554166668,284.90944791666664,3.876167,45958.63,3.3456337019078353,1.58435946041727,10.735518681451609,11.76112897389319,19.098754018227936,4.96800203836901,197007826.26605144,142.73941445168197,7.442664738120026,5.6556751450105365
