,country,year,scenario,share_pu,Total_Heat_TJ_ML,COP,Demand_HP_TWh
595,Slovenia,2040,KVE,0.23817015920272958,35752.64,4.3,0.550078335458484
596,Slovenia,2045,KVE,0.28508366645285127,34122.914,4.3,0.6284163669019637
597,Slovenia,2050,KVE,0.30623318508394404,33788.168,4.3,0.6684146031596565
598,Slovenia,2055,KVE,0.30623318508394404,33273.9,4.3,0.6582411215894993
599,Slovenia,2060,KVE,0.30623318508394404,33875.8,4.3,0.6701482060935995
600,Spain,2025,KVE,0.040110957662330464,291733.7,4.3,0.75592495053664
601,Spain,2026,KVE,0.049599968238317485,398969.1,4.3,1.2783498184365578
602,Spain,2027,KVE,0.06115220497788274,386538.47,4.3,1.5269819821509767
603,Spain,2028,KVE,0.07510400496429206,365347.2,4.3,1.7725475880369004
604,Spain,2029,KVE,0.09179160377748874,386538.47,4.3,2.292053493928155
605,Spain,2030,KVE,0.11152209811073399,386538.47,4.3,2.784727623286108
606,Spain,2035,KVE,0.2590991411695325,370345.06,4.3,6.198714024665698
607,Spain,2040,KVE,0.4461679859695227,367104.7,4.3,10.580772725131736
608,Spain,2045,KVE,0.5779807258139524,366406.53,4.3,13.680614850400652
609,Spain,2050,KVE,0.6374044645315032,365089.1,4.3,15.03290900888824
610,Spain,2055,KVE,0.6374044645315032,284134.12,4.3,11.699506688342636
611,Spain,2060,KVE,0.6374044645315032,274484.72,4.3,11.302182927184086
612,Sweden,2025,KVE,0.00041730796125727935,220467.4,3.3,0.007744343951488167
613,Sweden,2026,KVE,0.0009287108155367754,220467.4,3.3,0.017234888031646464
614,Sweden,2027,KVE,0.001551309641264358,219835.66,3.3,0.028706496110418995
615,Sweden,2028,KVE,0.002303231064288401,220467.4,3.3,0.04274304642514267
616,Sweden,2029,KVE,0.003202596240014557,220467.4,3.3,0.05943334209510686
617,Sweden,2030,KVE,0.004265955906184756,220467.4,3.3,0.07916702504270963
618,Sweden,2035,KVE,0.012219506009436411,212811.25,3.3,0.21889296833776858
619,Sweden,2040,KVE,0.022301436091755028,213422.81,3.3,0.40064269645698153
620,Sweden,2045,KVE,0.02940538131839741,265526.9,3.3,0.6572323426006427
621,Sweden,2050,KVE,0.03260797755841197,260037.02,3.3,0.7137442206242813
622,Sweden,2055,KVE,0.03260797755841197,257743.11,3.3,0.7074479225043006
623,Sweden,2060,KVE,0.03260797755841197,250481.11,3.3,0.6875153620184106
624,Austria,2025,VWE,0.07127662279999096,239536.45,4.0,1.1856492505152854
625,Austria,2026,VWE,0.07514885935289067,239343.27,4.0,1.2490537998136997
626,Austria,2027,VWE,0.07962499878616369,249028.19,4.0,1.3770048599135216
627,Austria,2028,VWE,0.08478042480782051,239343.27,4.0,1.4091406398965456
628,Austria,2029,VWE,0.0906933903326676,239343.27,4.0,1.5074204024980729
629,Austria,2030,VWE,0.09744269690485821,239343.27,4.0,1.619601040936173
630,Austria,2035,VWE,0.14605375532096787,230696.06,4.0,2.339863128276584
631,Austria,2040,VWE,0.22003464513793194,230696.06,4.0,3.525078502570732
632,Austria,2045,VWE,0.30431601904579864,230696.06,4.0,4.875313412820916
633,Austria,2050,VWE,0.3737588571006148,230696.06,4.0,5.987826651047933
634,Austria,2055,VWE,0.41726007432882944,224807.61,4.0,6.514114056989927
635,Austria,2060,VWE,0.4400161178666293,224807.61,4.0,6.869373215991651
636,Belgium,2025,VWE,0.0483520208392427,282488.4,4.0,0.9485337022046392
637,Belgium,2026,VWE,0.05655826918251371,282488.4,4.0,1.1095177311479774
638,Belgium,2027,VWE,0.06604434042499496,287193.5,4.0,1.3171878376818764
639,Belgium,2028,VWE,0.07696999170458843,282488.4,4.0,1.5099396038264346
640,Belgium,2029,VWE,0.08950106073387033,282488.4,4.0,1.7557647232861742
641,Belgium,2030,VWE,0.10380454790972257,282488.4,4.0,2.0363598134160243
642,Belgium,2035,VWE,0.20682367190748654,267667.16,4.0,3.8444378832287245
643,Belgium,2040,VWE,0.3636078833574678,267667.16,4.0,6.758742403748324
644,Belgium,2045,VWE,0.5422214250539602,267667.16,4.0,10.078810458931098
645,Belgium,2050,VWE,0.6893883573821592,267667.16,4.0,12.81434901978868
646,Belgium,2055,VWE,0.7815784358891097,259908.34,4.0,14.106858096655486
647,Belgium,2060,VWE,0.8298042459682052,259908.34,4.0,14.97729493081423
648,Bulgaria,2025,VWE,0.00035924195143973895,62228.754,3.5,0.0017742205259650091
649,Bulgaria,2026,VWE,0.0007758202197726828,59683.47,3.5,0.00367489215522322
650,Bulgaria,2027,VWE,0.0012573668372006209,66142.99,3.5,0.006600476980544335
651,Bulgaria,2028,VWE,0.001811991642602072,67859.46,3.5,0.009758792450996001
652,Bulgaria,2029,VWE,0.0024481131463900112,64984.266,3.5,0.012626098512757434
653,Bulgaria,2030,VWE,0.0031742088809560863,65638.77,3.5,0.016535807337008816
654,Bulgaria,2035,VWE,0.008403824959459898,76946.914,3.5,0.05132130327904522
655,Bulgaria,2040,VWE,0.016362747548164497,89925.74,3.5,0.11678033987389473
656,Bulgaria,2045,VWE,0.025429804355158524,90449.12,3.5,0.18254789313572256
657,Bulgaria,2050,VWE,0.03290051974916961,82902.44,3.5,0.21647090362219049
658,Bulgaria,2055,VWE,0.03758041507471074,87063.54,3.5,0.25967333069899606
659,Bulgaria,2060,VWE,0.04002852822110075,84620.41,3.5,0.2688278058621587
660,Croatia,2025,VWE,0.011711546708987542,74424.516,4.3,0.05630660315047414
661,Croatia,2026,VWE,0.014708679338590457,74424.516,4.3,0.07071617361607982
662,Croatia,2027,VWE,0.018173236156553613,95803.336,4.3,0.1124713592973249
663,Croatia,2028,VWE,0.022163564572166738,88221.734,4.3,0.12631190008763746
664,Croatia,2029,VWE,0.0267402327767384,88437.305,4.3,0.15276706159503153
665,Croatia,2030,VWE,0.03196423360374309,58405.727,4.3,0.12060041418119571
666,Croatia,2035,VWE,0.06958946319601918,58515.617,4.3,0.2630536606503117
667,Croatia,2040,VWE,0.1268510834013856,58194.336,4.3,0.4768743569376321
668,Croatia,2045,VWE,0.19208533558514493,56746.414,4.3,0.7041443112804959
