freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,BPRM_DW,CPA_F410011,NSA,I21,FR,,,82.2,72.9,82.5,85.2,105.2,107.8,109.5,106.6,107.0,112.9,124.5,132.2,137.0,132.0,111.9,91.9,111.5,111.6,100.1,88.5,74.1,77.6,85.2,92.0,85.4,86.4,79.5,100.0,92.5,65.1,54.6,60.5
A,BPRM_DW,CPA_F410011,NSA,I21,HR,,,,,,,,,98.4,114.5,116.3,116.0,111.3,126.5,119.8,108.6,111.8,119.8,100.8,94.6,76.2,59.1,53.5,48.8,60.5,80.2,83.4,88.5,88.7,100.0,113.6,118.7,120.9,122.8
A,BPRM_DW,CPA_F410011,NSA,I21,HU,,,,,,,115.0,142.0,175.7,159.1,158.8,178.4,158.1,133.0,130.2,119.6,100.4,73.9,44.5,43.8,38.2,27.8,31.5,39.2,71.7,76.7,77.4,84.0,70.5,100.0,81.7,53.2,52.1,60.1
A,BPRM_DW,CPA_F410011,NSA,I21,IE,,,,,,,,381.6,441.6,363.2,305.4,296.7,416.1,452.5,358.9,375.8,285.9,160.4,69.4,54.4,32.2,35.9,39.6,61.3,73.7,92.4,119.4,117.0,105.9,100.0,104.4,118.1,114.9,123.3
A,BPRM_DW,CPA_F410011,NSA,I21,IT,,,,,,,,,176.7,171.2,170.8,178.2,184.7,185.2,186.0,167.7,151.7,130.5,135.6,138.4,121.5,101.8,95.7,91.3,89.7,92.8,96.4,94.2,79.4,100.0,100.2,81.4,81.8,82.1
A,BPRM_DW,CPA_F410011,NSA,I21,LT,,,,,,,,17.5,19.1,19.6,23.3,28.6,39.2,53.5,70.2,80.4,74.6,57.0,55.0,45.6,51.2,63.9,58.1,60.7,69.5,63.4,65.9,63.1,77.2,100.0,69.8,55.9,49.5,52.5
A,BPRM_DW,CPA_F410011,NSA,I21,LU,,,,,,,,,65.7,58.7,57.1,58.3,64.2,78.6,81.8,83.5,67.7,57.3,76.3,83.9,76.3,81.7,96.0,68.5,76.2,84.8,80.7,88.0,98.0,100.0,90.5,61.8,52.6,59.2
A,BPRM_DW,CPA_F410011,NSA,I21,LV,,,,,,,,,54.4,66.3,76.4,103.2,155.1,186.1,220.5,191.0,135.8,74.1,51.4,51.7,60.6,60.8,63.7,61.6,56.6,80.1,84.6,90.2,84.1,100.0,98.4,89.8,85.5,87.4
A,BPRM_DW,CPA_F410011,NSA,I21,ME,,,,,,,,,147.4,152.6,266.7,222.8,298.2,249.1,417.5,375.4,624.6,696.5,275.4,215.8,368.4,389.5,403.5,249.1,447.4,457.9,96.5,52.6,56.1,100.0,263.2,224.6,217.5,440.4
A,BPRM_DW,CPA_F410011,NSA,I21,MK,,,,,,,,,,,,,,,,,91.8,80.7,72.4,55.0,64.5,65.6,87.9,90.1,91.0,97.0,75.8,98.5,72.9,100.0,94.6,93.2,84.4,98.5
A,BPRM_DW,CPA_F410011,NSA,I21,MT,,,,,,,,,228.2,116.7,141.0,140.8,128.0,136.8,127.8,96.8,57.9,60.5,62.8,60.2,51.0,57.1,63.5,79.1,105.8,110.4,148.6,156.1,97.8,100.0,117.0,96.5,104.1,140.2
A,BPRM_DW,CPA_F410011,NSA,I21,NL,,,,,,,,,151.1,116.9,126.5,134.0,145.0,150.3,160.1,139.5,134.8,107.8,84.2,82.6,43.5,26.3,49.0,74.6,79.0,101.6,101.7,85.8,94.1,100.0,75.3,65.0,70.5,65.1
