country,year,scenario,total_floor_m2,thermal_index,ln_total_floor,ln_thermal_index,hist_method,share_0-1945,share_1946-1969,share_1970-1979,share_1980-1989,share_1990-1999,share_2000-2010,share_2011-2020,share_post-2020,share_ren_0-1945,share_ren_1946-1969,share_ren_1970-1979,share_ren_1980-1989,share_ren_1990-1999,share_ren_2000-2010
Spain,2027,VNI,4010404547.4563675,139.80072376147294,22.112157958078186,4.9473455840621,,0.09212171054557451,0.1551939283077019,0.1175845332207678,0.14773331125738481,0.1515670234279808,0.15748226532422446,0.07167871659788644,0.07708811060199054,0.02955040071648873,0.0,0.0,0.0,0.0,0.0
Spain,2028,VNI,4055551415.2570806,137.606282230359,22.123352499549178,4.931637412065962,,0.08082291239732886,0.15315935895040433,0.11615929301749466,0.14601568257228628,0.14987976177869977,0.15572915451744188,0.07088078082762463,0.08821927803028769,0.03913377790843194,0.0,0.0,0.0,0.0,0.0
Spain,2029,VNI,4097248771.7316465,135.53877747381327,22.133581554373514,4.916608658338019,,0.06976038325585848,0.15129746768568397,0.1148621725032013,0.14445742839323916,0.14835444803687195,0.15414431199721285,0.07015943307696902,0.09834504486226817,0.04861931018869516,0.0,0.0,0.0,0.0,0.0
Spain,2030,VNI,4136024383.2214565,133.5772519768555,22.14300086973996,4.902138398298133,,0.0588990540850748,0.14957928183975827,0.1136715436734865,0.1430315750654293,0.1469636113524464,0.15269919480215594,0.06950168189678402,0.10763504812914018,0.05801900915572476,0.0,0.0,0.0,0.0,0.0
Spain,2035,VNI,4296545092.179781,128.8836179776884,22.181077069991183,4.8666388031577865,,0.046528465281344314,0.143702955875863,0.10931530286753431,0.13761901209331562,0.14147298979972298,0.14699428946981785,0.06690507019772987,0.14177807372038714,0.06568384069428507,0.0,0.0,0.0,0.0,0.0
Spain,2040,VNI,4431191617.055334,125.02708144169496,22.21193437310694,4.836496815933832,,0.03497930385962696,0.13905771417532264,0.10588764613601137,0.13337059168914858,0.13717418079156146,0.14252770983072416,0.0648720876555157,0.16863386323718876,0.07349690262490038,0.0,0.0,0.0,0.0,0.0
Spain,2045,VNI,4537897112.587565,121.91224687583961,22.23572955085391,4.8114706607191415,,0.024054319479930406,0.13551629297192858,0.10329437398602162,0.13016935771686458,0.13394862530353827,0.1391762698295009,0.06334666561800613,0.18894072705641618,0.08155336803779334,0.0,0.0,0.0,0.0,0.0
Spain,2050,VNI,4629273709.535644,119.20405316360171,22.255665826764776,4.789190741695671,,0.013508776032906414,0.1325756727956092,0.10115420508657319,0.12753616268969645,0.1313046318146896,0.13642908858447078,0.06209627449936089,0.20569142196406334,0.08970376653263022,0.0,0.0,0.0,0.0,0.0
Spain,2055,VNI,4705997040.713196,116.84335734664789,22.272103498631154,4.769356262470246,,0.003248672647375603,0.13015342193047685,0.09940555161146851,0.1253941725731652,0.129163931626247,0.13420484278593717,0.06108389965252405,0.21936893289750248,0.09797657427530308,0.0,0.0,0.0,0.0,0.0
Spain,2060,VNI,4773681814.512689,114.74711020571976,22.28638371318915,4.751407726829377,,0.0,0.12124439765447395,0.09789811043994488,0.12355443359386925,0.12733255034972427,0.1323019877613004,0.06021780717057382,0.23115308489841468,0.09949063087579928,0.00680699725589962,0.0,0.0,0.0,0.0
Spain,2025,VWE,3912070449.5206566,144.5445034030129,22.087332597781124,4.980481905157092,,0.11548223469745086,0.15973318841799444,0.1207815893151215,0.15159830732151716,0.15537682356269397,0.1614407514254723,0.07348043822554944,0.052106667034200416,0.010000000000000002,0.0,0.0,0.0,0.0,0.0
Spain,2026,VWE,3963759637.2542467,141.99114702076113,22.100458815413813,4.962782719397743,,0.10263436613505277,0.15733489623939928,0.11908733715407761,0.14954658730299333,0.15335064071167115,0.1593354922594388,0.07252222064583314,0.06534847278363319,0.020839986767900772,0.0,0.0,0.0,0.0,0.0
Spain,2027,VWE,4010404547.456367,139.53950091854944,22.112157958078186,4.945488594587613,,0.08913630662644895,0.15519392830770193,0.11758453322076781,0.14773331125738481,0.1515670234279808,0.1574822653242245,0.07167871659788645,0.07708811060199056,0.0325358046356143,0.0,0.0,0.0,0.0,0.0
Spain,2028,VWE,4055551415.257081,137.08624229500046,22.123352499549178,4.92787843412759,,0.07487959885037464,0.1531593589504043,0.11615929301749464,0.14601568257228625,0.14987976177869977,0.15572915451744188,0.07088078082762463,0.08821927803028778,0.04507709145538614,0.0,0.0,0.0,0.0,0.0
Spain,2029,VWE,4097248771.7316465,134.67557418377797,22.133581554373514,4.910266551993419,,0.059895202798312015,0.15129746768568397,0.1148621725032013,0.14445742839323916,0.14835444803687195,0.15414431199721285,0.07015943307696902,0.09834504486226817,0.05848449064624162,0.0,0.0,0.0,0.0,0.0
