nuts0,country,year,tas_annual,hdd_annual,cdd_annual,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
BG,Bulgaria,2097,285.9503096714749,2028.2797162122756,332.8521810256609,309.31758999500556,290.29194121110885,268.64987459963197,297.1057005096502,282.02775822946046,261.75712015252554
BG,Bulgaria,2098,285.8749715113223,1963.16731900264,286.1734417623608,310.60694392624396,290.01338970873763,270.958706227098,295.9124744071071,282.11275599637503,265.1666536986086
BG,Bulgaria,2099,285.8439894546898,2100.8453424299264,368.02554345611543,309.74501439193546,290.2822523606883,270.2861100524343,297.1343020166973,281.83555955233805,264.15127447711865
BG,Bulgaria,2100,286.24442303390566,1880.224912528348,293.43111502396874,310.18345423519486,290.61366861989063,269.29116113848914,296.62997624165905,282.2546040739445,263.3824755929166
HR,Croatia,1950,285.2917681110094,2072.9247315349335,228.75098138641027,307.241130925196,289.1247697466555,263.1242489072599,297.1161431178481,281.81132489201707,255.94014958916787
HR,Croatia,1951,284.53034504698815,2232.3275836639295,171.85175378340472,306.4929887210918,288.2087477965474,269.6877149354593,295.96288348338663,281.259341906702,263.84670985144345
HR,Croatia,1952,284.81151907939727,2002.3978366335502,102.01340517980353,304.99619103538515,288.37841990739116,270.0540609072052,294.17705814213593,281.6376944490178,264.1673678414073
HR,Croatia,1953,285.430426724369,1981.469999061775,188.49981888485956,308.07950465620763,289.2123557947033,268.45431934068654,297.23599969051696,282.03522359478944,262.9853242011547
HR,Croatia,1954,285.7001185927812,1819.2989492186161,176.30924260710907,306.23065340036084,289.20199933412516,271.4296895399906,295.8517169519836,282.6162741399424,266.6961805222262
HR,Croatia,1955,285.42834049263666,2074.2919397182823,273.1906498989813,308.40026881689926,289.0242259018993,270.81701327535853,296.601932627205,282.15495549480767,265.1440649381648
HR,Croatia,1956,285.35490191160784,1973.226544447074,176.91245503421746,305.4608663572767,288.8371073727957,269.0187870508068,295.0745380771065,282.19231059052254,262.9152982161025
HR,Croatia,1957,284.7174413186054,2131.2046196619126,128.1905612440332,303.9344484652472,288.34821015978105,263.62944907408155,294.39135563309253,281.4513068246512,256.13881460639936
HR,Croatia,1958,283.88415530871004,2337.682756254683,96.6636280072706,302.7634559362929,287.35076816629413,267.8728359049278,293.93651406003454,280.7390749528534,262.6042647498633
HR,Croatia,1959,286.1895149695481,1740.2198034924124,204.37893973757195,305.58452803858836,289.8840528535552,269.64413454883095,295.95769976312135,282.9048633269972,264.506099583105
HR,Croatia,1960,284.6100117792192,2246.7704606447987,174.25290980681416,306.2941838924789,288.2023140123064,266.7947790683476,295.5671527791552,281.37842616516366,260.1576951220058
HR,Croatia,1961,283.7787099726927,2311.1376707009968,91.99701329087415,304.72122841689156,287.2103463042286,263.71530032881003,294.35259503479006,280.6431155058044,258.4873364704717
HR,Croatia,1962,283.5406234762113,2438.3958318087475,102.02814780269075,303.6823867439232,286.9929207006847,265.75549430136056,293.9317139512913,280.40326376619225,257.8356837423001
HR,Croatia,1963,284.52211165275764,2120.148478333449,115.61261595253276,305.1465113633954,287.9663796183372,267.0144057795497,295.23406175762756,281.44317015691985,260.9028955594514
HR,Croatia,1964,285.75813094260354,1693.0528018336036,144.9554014516418,306.1934475192827,289.24338830055126,269.6446765951932,295.88031059639457,282.6304349101566,263.96922431286345
HR,Croatia,1965,285.40607556305895,1997.0588215319533,195.46296920808877,306.2939173407824,289.1549544706129,266.646183552306,295.9552207517755,282.04100401228595,259.7926548561795
HR,Croatia,1966,285.2506243361116,1989.0293426540256,148.9804498377148,304.36669537611624,288.76836075419914,265.63404823311424,294.6537041008885,282.0985519105526,256.59675936457234
HR,Croatia,1967,284.2464661052026,2157.5111051512263,70.99808077146146,303.25514788141754,287.6499680954492,269.59258447782827,293.5506929249219,281.15210877141465,264.85522440056
HR,Croatia,1968,284.44705544765293,2028.5067267030267,61.05644197992287,302.5914876194885,287.77629870874125,268.26522890152415,293.15649247888126,281.4241912612432,260.73911238384323
HR,Croatia,1969,285.00856485415807,2033.9066668210844,152.60412068532034,307.0188955001305,288.6221184336842,264.9932343805426,295.88136282840566,281.7538311034275,258.29321439615137
HR,Croatia,1970,284.44973221177344,2215.4229058199044,136.96153047919404,307.24036094726114,288.2339104158318,262.698007488331,296.1274859282224,281.052749209331,254.03453654438175
