nuts0,country,year,hdd_annual,cdd_annual,tas_annual
EE,Estonia,2056,3315.3960403045603,8.567560425416884,280.06117054417973
EE,Estonia,2057,3573.6041681249003,18.99190262005678,279.49265244462856
EE,Estonia,2058,3013.0028754701434,15.671146016581393,281.0707708779783
EE,Estonia,2059,3520.711545112706,22.83039308997265,279.75002326353814
EE,Estonia,2060,3593.781356988484,25.24545449974746,279.58559665462434
EE,Estonia,2061,3616.6632254022466,7.82264292891393,279.12029405988693
EE,Estonia,2062,3068.0741067798094,58.50394788813419,281.43676769107583
EE,Estonia,2063,3032.0753797173493,11.34600138321072,280.85173220203666
EE,Estonia,2064,2960.7996614120784,26.096887997869295,281.4229405371693
EE,Estonia,2065,2783.9288450363433,4.733435979474947,281.46968085784283
EE,Estonia,2066,3052.1380387447125,15.92887522353198,280.90032307970756
EE,Estonia,2067,3269.804517095445,17.112903962122335,280.34174378045293
EE,Estonia,2068,3702.2400632624767,4.5347533893661875,278.8914242130146
EE,Estonia,2069,3238.130303040424,16.144837336576146,280.53291293950576
EE,Estonia,2070,3764.5801479983274,18.53584930265034,279.02842314513646
EE,Estonia,2071,3106.7459737617073,31.97611738779262,281.153400957866
EE,Estonia,2072,2948.402794865699,18.83762729034401,281.4115663093874
EE,Estonia,2073,3394.8898670385597,12.54202299139866,279.8924493417899
EE,Estonia,2074,3077.0031799906656,7.999913111198497,280.78025585055303
EE,Estonia,2075,3282.25852449613,1.7503681861659337,280.02096269935424
EE,Estonia,2076,3581.8087768670066,29.909926901832577,279.70376192092647
EE,Estonia,2077,3235.7590297921734,25.227826254775582,280.66408649736604
EE,Estonia,2078,2770.101622933817,5.651354883763231,281.5481072670475
EE,Estonia,2079,3616.263554205666,37.94454191527378,279.56495936079267
EE,Estonia,2080,3451.429726377314,7.362905674592509,279.690055674939
EE,Estonia,2081,3446.899355298062,3.2125518575433105,279.5651247818809
EE,Estonia,2082,2923.3223385419515,48.525597548881784,281.61716552689137
EE,Estonia,2083,3014.9107751162637,10.131781031743344,280.9989822455133
EE,Estonia,2084,3368.3294532492987,13.164367799621724,280.09752326894346
EE,Estonia,2085,3131.384536298354,23.709522993448413,280.81397177847356
EE,Estonia,2086,3609.4256565367473,48.09671555226287,279.88187794877706
EE,Estonia,2087,3703.043397422891,27.7872317994042,279.44261985179185
EE,Estonia,2088,3044.63351157324,11.509602180325178,280.9634656132838
EE,Estonia,2089,3148.1590183874355,58.226259270336826,281.2968822115622
EE,Estonia,2090,3004.6334823195257,23.696819007097005,281.17062804265913
EE,Estonia,2091,3025.5808391929986,10.076449536286274,280.9096538373697
EE,Estonia,2092,3241.212108753901,9.470051822244045,280.27577713158064
EE,Estonia,2093,3053.6203026264993,9.88704722207014,280.9250691324746
EE,Estonia,2094,3217.6812888980644,8.566865026495293,280.34358898610117
EE,Estonia,2095,3234.485523880292,18.10835588365265,280.4389364958878
EE,Estonia,2096,3181.2567764275423,23.916654048981947,280.7973089987929
EE,Estonia,2097,2544.6262740690836,49.47716401635993,282.9251366458971
EE,Estonia,2098,2989.623799575891,16.73663565776144,281.30643313856666
EE,Estonia,2099,2641.3721788393937,14.826437380212989,282.1500592152398
EE,Estonia,2100,2952.519990129462,39.758687790331265,281.5879989514455
FI,Finland,1950,5099.419650430089,17.77810079652002,275.2059049194269
FI,Finland,1951,5144.817433203118,2.5551081737075223,274.7371139509301
FI,Finland,1952,5448.915530667624,4.532001720678421,273.9721197804334
FI,Finland,1953,5242.580958660941,0.9979923375306844,274.4294979928204
FI,Finland,1954,4846.789692572642,7.099791756802505,275.7079638505354
